mean_1	cx	mut_pb	t_size	avg_val	std_val
20	cxUniform	0.15	2	1.9497662901795145	0.004086172071267129
20	cxUniform	0.15	4	1.9514041432968814	0.002620162812664246
20	cxUniform	0.15	6	1.9535408306412698	0.0006681051209354541
20	cxUniform	0.175	2	1.947314382231293	0.002496207637081307
20	cxUniform	0.175	4	1.9526519304324126	0.0011834624556251385
20	cxUniform	0.175	6	1.9506396611760006	0.003171204960022644
20	cxUniform	0.2	2	1.9513165558773289	0.002042313361246001
20	cxUniform	0.2	4	1.9511993024090764	0.0030146204666411675
20	cxUniform	0.2	6	1.952674724496045	0.0014698764191357556
20	cxUniform	0.25	2	1.9532888100641366	0.0007902532768908411
20	cxUniform	0.25	4	1.9527617303125293	0.0010556649843870732
20	cxUniform	0.25	6	1.95166465827771	0.003380231584745568
20	cxUniform	0.3	2	1.948647164832798	0.0036720046474772645
20	cxUniform	0.3	4	1.9515371237688064	0.0018799194427225106
20	cxUniform	0.3	6	1.951611282348556	0.0015920473150029383
30	cxUniform	0.15	2	1.951315098595914	0.0014192055521221926
30	cxUniform	0.15	4	1.9520988944885793	0.0012484465627651173
30	cxUniform	0.15	6	1.952187470690383	0.0008377365006824675
30	cxUniform	0.175	2	1.9521376249052829	0.0005805616362934324
30	cxUniform	0.175	4	1.952456760769812	0.0005459792930324626
30	cxUniform	0.175	6	1.9529737131514717	0.0010597724284842746
30	cxUniform	0.2	2	1.950743876157988	0.0025659168197710754
30	cxUniform	0.2	4	1.950924949979553	0.0007428527816462959
30	cxUniform	0.2	6	1.951485250419347	0.002646603601068375
30	cxUniform	0.25	2	1.9512194241346301	0.0012359673713048006
30	cxUniform	0.25	4	1.95215407988632	0.0008155078370632356
30	cxUniform	0.25	6	1.9527163615438117	0.0007962255539281142
30	cxUniform	0.3	2	1.952477074132792	0.000530624230893004
30	cxUniform	0.3	4	1.9520864372460505	0.001397969739877689
30	cxUniform	0.3	6	1.9520864791102575	0.0009313315139447952
40	cxUniform	0.15	2	1.9510501003507166	0.0006463757486163867
40	cxUniform	0.15	4	1.95190030284772	0.0010304716863513057
40	cxUniform	0.15	6	1.9503059929540072	0.0021548356111359113
40	cxUniform	0.175	2	1.9503963579058836	0.0006227818453087697
40	cxUniform	0.175	4	1.9514471848277175	0.0003939217331444022
40	cxUniform	0.175	6	1.9520514286440798	0.0006456718705872674
40	cxUniform	0.2	2	1.951143507873421	0.0002965481828867446
40	cxUniform	0.2	4	1.9524748834536667	0.0004469823098210534
40	cxUniform	0.2	6	1.9517361788626821	0.0007235970526521669
40	cxUniform	0.25	2	1.9514470301473092	0.001111163397223167
40	cxUniform	0.25	4	1.9522072208193102	0.000869348796937329
40	cxUniform	0.25	6	1.9515597725440883	0.0011630095828071435
40	cxUniform	0.3	2	1.9508226473851225	0.002321768785904843
40	cxUniform	0.3	4	1.95246548888082	0.00032261674838290156
40	cxUniform	0.3	6	1.9516972500410943	0.0010211038032376342
50	cxUniform	0.15	2	1.9512241162873845	0.0013260730189161149
50	cxUniform	0.15	4	1.9518840527150054	0.0007686971101010612
50	cxUniform	0.15	6	1.9515373903674025	0.0009073997886750214
50	cxUniform	0.175	2	1.952034389577669	0.0005245561810092401
50	cxUniform	0.175	4	1.95129903299019	0.0012926628074575424
50	cxUniform	0.175	6	1.9510478087570213	0.0007414329910240663
50	cxUniform	0.2	2	1.9512166502671089	0.0013974455001621506
50	cxUniform	0.2	4	1.9512773176743619	0.0006713354716330869
50	cxUniform	0.2	6	1.9510887025934338	0.0008713371632407238
50	cxUniform	0.25	2	1.951801366044382	0.0010655063125514785
50	cxUniform	0.25	4	1.9511380633406517	0.0009483815390038091
50	cxUniform	0.25	6	1.9514205702482905	0.0008305815391053435
50	cxUniform	0.3	2	1.9510804327784015	0.0010430336741468578
50	cxUniform	0.3	4	1.9509900838595946	0.0011366031437329302
50	cxUniform	0.3	6	1.9520332398605216	0.0004988519184001998
60	cxUniform	0.15	2	1.9511853849749035	0.0010198790301798692
60	cxUniform	0.15	4	1.9505907032865288	0.000608309822840581
60	cxUniform	0.15	6	1.9516459762417662	0.0008736794521280545
60	cxUniform	0.175	2	1.951948571869987	0.0004963511860772055
60	cxUniform	0.175	4	1.9511620822092666	0.0010220642169668551
60	cxUniform	0.175	6	1.9517078124478708	0.0007773948407058764
60	cxUniform	0.2	2	1.9512271996074102	0.0010430647405709858
60	cxUniform	0.2	4	1.9513482917575817	0.0011510182290832458
60	cxUniform	0.2	6	1.9514211272764814	0.0007855487062403532
60	cxUniform	0.25	2	1.9511392466131134	0.0011129386448857246
60	cxUniform	0.25	4	1.952527819821459	0.00026367857284433164
60	cxUniform	0.25	6	1.9519100709165733	0.0008625506056973496
60	cxUniform	0.3	2	1.950804643116264	0.001095985457905769
60	cxUniform	0.3	4	1.9509833330887265	0.0008865332451799768
60	cxUniform	0.3	6	1.9515011707246905	0.0002943247477734619
