mean_1	cx	mut_pb	t_size	k	avg_val	std_val
10	cxOnePoint	0.175	4	1	1.82162741827	0.0142356623491
10	cxOnePoint	0.175	4	3	1.85978760309	0.00906983170031
10	cxOnePoint	0.175	4	5	1.87469109188	0.00760029325122
10	cxOnePoint	0.175	4	7	1.87654078667	0.00804326893412
10	cxOnePoint	0.175	6	1	1.82349379584	0.0141496035297
10	cxOnePoint	0.175	6	3	1.86328129333	0.00992765598281
10	cxOnePoint	0.175	6	5	1.87168466891	0.00752914284375
10	cxOnePoint	0.175	6	7	1.87872350208	0.00615040463015
10	cxOnePoint	0.175	8	1	1.81453713462	0.014329978793
10	cxOnePoint	0.175	8	3	1.86525844236	0.010831737759
10	cxOnePoint	0.175	8	5	1.8701774181	0.00828795897315
10	cxOnePoint	0.175	8	7	1.8649555296	0.00372692871577
10	cxOnePoint	0.2	2	1	1.83637949563	0.00757505072453
10	cxOnePoint	0.2	2	3	1.87199599693	0.00709498559851
10	cxOnePoint	0.2	2	5	1.87624465266	0.00513224297425
10	cxOnePoint	0.2	2	7	1.88952393431	0.0044070972427
10	cxOnePoint	0.2	4	1	1.83088392033	0.00611919601726
10	cxOnePoint	0.2	4	3	1.85946847052	0.00383856166223
10	cxOnePoint	0.2	4	5	1.87078182127	0.00791149795194
10	cxOnePoint	0.2	4	7	1.87226452328	0.00873087473526
10	cxOnePoint	0.2	6	1	1.83052085726	0.0107421104884
10	cxOnePoint	0.2	6	3	1.86234991007	0.00558586837056
10	cxOnePoint	0.2	6	5	1.87245438442	0.00385894625166
10	cxOnePoint	0.2	6	7	1.87333310765	0.00555869868081
10	cxOnePoint	0.2	8	1	1.81850407151	0.0167939538648
10	cxOnePoint	0.2	8	3	1.86030523073	0.0133745384909
10	cxOnePoint	0.2	8	5	1.87203892758	0.00674870785937
10	cxOnePoint	0.2	8	7	1.87886002335	0.0106245911475
10	cxTwoPoint	0.05	2	1	1.82885469416	0.00981718924916
10	cxTwoPoint	0.05	2	3	1.86816629521	0.00737936547807
10	cxTwoPoint	0.05	2	5	1.87352397186	0.00491144800328
10	cxTwoPoint	0.05	2	7	1.88254824543	0.00626337676057
10	cxTwoPoint	0.05	4	1	1.82741170481	0.00757824050249
10	cxTwoPoint	0.05	4	3	1.85480666541	0.00267172884309
10	cxTwoPoint	0.05	4	5	1.86475214201	0.00572428869484
10	cxTwoPoint	0.05	4	7	1.87025157884	0.00605056199317
10	cxTwoPoint	0.05	6	1	1.81226566106	0.00649934744419
10	cxTwoPoint	0.05	6	3	1.85538202693	0.00860587088619
10	cxTwoPoint	0.05	6	5	1.86860374916	0.00599819725271
10	cxTwoPoint	0.05	6	7	1.87160165625	0.00703177669299
10	cxTwoPoint	0.05	8	1	1.81765208652	0.012337659214
10	cxTwoPoint	0.05	8	3	1.85562304726	0.00549568871055
10	cxTwoPoint	0.05	8	5	1.85831254104	0.00704594252607
10	cxTwoPoint	0.05	8	7	1.87153838395	0.00943886006442
10	cxTwoPoint	0.075	2	1	1.82211602751	0.00990593987137
10	cxTwoPoint	0.075	2	3	1.85978839356	0.00459689121484
10	cxTwoPoint	0.075	2	5	1.87468831549	0.00757987647821
10	cxTwoPoint	0.075	2	7	1.87946102375	0.00544608330807
10	cxTwoPoint	0.075	4	1	1.8267361805	0.00345201626112
10	cxTwoPoint	0.075	4	3	1.86073430556	0.00890534004979
10	cxTwoPoint	0.075	4	5	1.86742778145	0.00575454461111
10	cxTwoPoint	0.075	4	7	1.87689204631	0.00420450070745
10	cxTwoPoint	0.075	6	1	1.83018978874	0.00471927550505
10	cxTwoPoint	0.075	6	3	1.85232341858	0.00884479654898
10	cxTwoPoint	0.075	6	5	1.8706920306	0.00419000052924
10	cxTwoPoint	0.075	6	7	1.87327045363	0.00437072939523
10	cxTwoPoint	0.075	8	1	1.81279284073	0.0213570134584
10	cxTwoPoint	0.075	8	3	1.85961530363	0.0045486032019
10	cxTwoPoint	0.075	8	5	1.86938007395	0.00911081329156
10	cxTwoPoint	0.075	8	7	1.86354668129	0.0110883185125
10	cxTwoPoint	0.1	2	1	1.8331767131	0.00624706801669
10	cxTwoPoint	0.1	2	3	1.87693871067	0.009416455451
10	cxTwoPoint	0.1	2	5	1.86943303719	0.00400169058249
10	cxTwoPoint	0.1	2	7	1.87427239284	0.00522475484187
10	cxTwoPoint	0.1	4	1	1.82542888236	0.00912474305141
10	cxTwoPoint	0.1	4	3	1.85837872767	0.00442505368608
10	cxTwoPoint	0.1	4	5	1.8704467321	0.00656083692862
10	cxTwoPoint	0.1	4	7	1.8768649495	0.0112186308158
10	cxTwoPoint	0.1	6	1	1.82275832184	0.00803571635623
10	cxTwoPoint	0.1	6	3	1.86047269176	0.00992259101611
10	cxTwoPoint	0.1	6	5	1.86882513515	0.00346562988016
10	cxTwoPoint	0.1	6	7	1.87298412706	0.00603436189454
10	cxTwoPoint	0.1	8	1	1.82876338956	0.0130940017381
10	cxTwoPoint	0.1	8	3	1.86058110724	0.00741812928217
10	cxTwoPoint	0.1	8	5	1.86348905456	0.00838898735499
10	cxTwoPoint	0.1	8	7	1.87211896983	0.0034869401521
10	cxTwoPoint	0.125	2	1	1.83375096866	0.00546923916122
10	cxTwoPoint	0.125	2	3	1.86401156854	0.00288111726552
10	cxTwoPoint	0.125	2	5	1.88000896868	0.00545321979874
10	cxTwoPoint	0.125	2	7	1.87926523648	0.00414197725159
10	cxTwoPoint	0.125	4	1	1.82253312102	0.0106391960422
10	cxTwoPoint	0.125	4	3	1.86720169878	0.00617597356403
10	cxTwoPoint	0.125	4	5	1.87319246849	0.00810600196633
10	cxTwoPoint	0.125	4	7	1.8748069894	0.00761257846201
10	cxTwoPoint	0.125	6	1	1.81738320896	0.00955258272012
10	cxTwoPoint	0.125	6	3	1.85388194715	0.00612131274624
10	cxTwoPoint	0.125	6	5	1.86181602065	0.0118771388286
10	cxTwoPoint	0.125	6	7	1.87258204829	0.00536285664633
10	cxTwoPoint	0.125	8	1	1.82357381278	0.00483858379796
10	cxTwoPoint	0.125	8	3	1.86389781514	0.00734240728419
10	cxTwoPoint	0.125	8	5	1.87160505344	0.00405727048812
10	cxTwoPoint	0.125	8	7	1.86838258877	0.00653348399113
10	cxTwoPoint	0.15	2	1	1.83087317017	0.00858186891106
10	cxTwoPoint	0.15	2	3	1.87247322703	0.00377570841244
10	cxTwoPoint	0.15	2	5	1.8764721467	0.00608062486167
10	cxTwoPoint	0.15	2	7	1.88256919463	0.00154667243238
10	cxTwoPoint	0.15	4	1	1.8259973795	0.00962127088142
10	cxTwoPoint	0.15	4	3	1.8660878376	0.0115111830677
10	cxTwoPoint	0.15	4	5	1.87370541574	0.00721998906794
10	cxTwoPoint	0.15	4	7	1.87807385866	0.00644063007409
10	cxTwoPoint	0.15	6	1	1.82240773344	0.00903539827029
10	cxTwoPoint	0.15	6	3	1.86089570065	0.00927208619685
10	cxTwoPoint	0.15	6	5	1.86697968245	0.00368752268923
10	cxTwoPoint	0.15	6	7	1.87805768011	0.00795681433035
10	cxTwoPoint	0.15	8	1	1.8262586496	0.0127868502206
10	cxTwoPoint	0.15	8	3	1.86239941002	0.00971196113245
10	cxTwoPoint	0.15	8	5	1.86976876601	0.0119084543068
10	cxTwoPoint	0.15	8	7	1.8738927481	0.0123802595565
10	cxTwoPoint	0.175	2	1	1.83239666411	0.00444996448066
10	cxTwoPoint	0.175	2	3	1.87173467315	0.00311581258659
10	cxTwoPoint	0.175	2	5	1.88086686436	0.00335169126874
10	cxTwoPoint	0.175	2	7	1.88394199937	0.0103834974772
10	cxTwoPoint	0.175	4	1	1.83107118825	0.00929245613084
10	cxTwoPoint	0.175	4	3	1.86110857915	0.00836806081558
10	cxTwoPoint	0.175	4	5	1.87108363157	0.00332114897113
10	cxTwoPoint	0.175	4	7	1.87534833699	0.00479401322529
10	cxTwoPoint	0.175	6	1	1.82971127118	0.0117314421884
10	cxTwoPoint	0.175	6	3	1.8574203443	0.0065182513041
10	cxTwoPoint	0.175	6	5	1.86909266226	0.00391268017037
10	cxTwoPoint	0.175	6	7	1.87663231011	0.0124130665504
10	cxTwoPoint	0.175	8	1	1.80897857962	0.0188187224667
10	cxTwoPoint	0.175	8	3	1.85862130825	0.00633604065773
10	cxTwoPoint	0.175	8	5	1.86631296884	0.00817264276747
10	cxTwoPoint	0.175	8	7	1.87169929265	0.00335565846839
10	cxTwoPoint	0.2	2	1	1.8358447721	0.00585432134993
10	cxTwoPoint	0.2	2	3	1.87109970634	0.007264519554
10	cxTwoPoint	0.2	2	5	1.87864919722	0.00498828305891
10	cxTwoPoint	0.2	2	7	1.87764267389	0.00521028339941
10	cxTwoPoint	0.2	4	1	1.83205462705	0.0110479430892
10	cxTwoPoint	0.2	4	3	1.86848138386	0.00351854968143
10	cxTwoPoint	0.2	4	5	1.87532238059	0.0103037069316
10	cxTwoPoint	0.2	4	7	1.88196174974	0.00987088542849
10	cxTwoPoint	0.2	6	1	1.82242370436	0.0183940286997
10	cxTwoPoint	0.2	6	3	1.86096783878	0.00747260681721
10	cxTwoPoint	0.2	6	5	1.87368374194	0.00566208374376
10	cxTwoPoint	0.2	6	7	1.87605195761	0.0103500992375
10	cxTwoPoint	0.2	8	1	1.82015068009	0.011258536714
10	cxTwoPoint	0.2	8	3	1.86179111892	0.00460931001538
10	cxTwoPoint	0.2	8	5	1.87998676706	0.00459969060242
10	cxTwoPoint	0.2	8	7	1.87530902629	0.00198456196436
10	cxUniform	0.05	2	1	1.84001939594	0.00778662962257
10	cxUniform	0.05	2	3	1.87159486156	0.00350133608904
10	cxUniform	0.05	2	5	1.88064888218	0.00539236340626
10	cxUniform	0.05	2	7	1.88262455317	0.0040181908171
10	cxUniform	0.05	4	1	1.83256651032	0.00461272264574
10	cxUniform	0.05	4	3	1.8678860254	0.00557839098015
10	cxUniform	0.05	4	5	1.87665638818	0.00360143319431
10	cxUniform	0.05	4	7	1.88038648146	0.00643945544303
10	cxUniform	0.05	6	1	1.82811289661	0.00432031803271
10	cxUniform	0.05	6	3	1.86898549793	0.0077007714483
10	cxUniform	0.05	6	5	1.88041602675	0.00512509260785
10	cxUniform	0.05	6	7	1.88235370936	0.00751765801444
10	cxUniform	0.05	8	1	1.82749433614	0.00926828754962
10	cxUniform	0.05	8	3	1.86706397003	0.00363977951624
10	cxUniform	0.05	8	5	1.87209070496	0.00910868979517
10	cxUniform	0.05	8	7	1.8773932404	0.00475462090782
10	cxUniform	0.075	2	1	1.84155615672	0.00564683276143
10	cxUniform	0.075	2	3	1.87263297822	0.00685348730161
10	cxUniform	0.075	2	5	1.88016386789	0.00330869093313
10	cxUniform	0.075	2	7	1.88397443533	0.00227118103735
10	cxUniform	0.075	4	1	1.83505967559	0.00492120619634
10	cxUniform	0.075	4	3	1.8720535324	0.00370017487832
10	cxUniform	0.075	4	5	1.87496871054	0.00570587562297
10	cxUniform	0.075	4	7	1.87906241627	0.00631298282227
10	cxUniform	0.075	6	1	1.82872065513	0.00500372123986
10	cxUniform	0.075	6	3	1.86792299352	0.00554136156183
10	cxUniform	0.075	6	5	1.87642131575	0.00418895665353
10	cxUniform	0.075	6	7	1.88218429811	0.00341406849946
10	cxUniform	0.075	8	1	1.83343274363	0.00951225287032
10	cxUniform	0.075	8	3	1.85742138201	0.00703669559232
10	cxUniform	0.075	8	5	1.87250439898	0.00659991269105
10	cxUniform	0.075	8	7	1.87714225517	0.00358419034411
10	cxUniform	0.1	2	1	1.84102616797	0.00537296913539
10	cxUniform	0.1	2	3	1.87750908967	0.003551167116
10	cxUniform	0.1	2	5	1.87934372678	0.00721036208747
10	cxUniform	0.1	2	7	1.88434104188	0.00333437951141
10	cxUniform	0.1	4	1	1.8358819509	0.00833127979708
10	cxUniform	0.1	4	3	1.86927518254	0.00309299742246
10	cxUniform	0.1	4	5	1.88371629056	0.00696723225101
10	cxUniform	0.1	4	7	1.88369390403	0.00495542233762
10	cxUniform	0.1	6	1	1.83927583489	0.00730591351001
10	cxUniform	0.1	6	3	1.8712648977	0.00430899140433
10	cxUniform	0.1	6	5	1.87581236617	0.00219713435885
10	cxUniform	0.1	6	7	1.87762609664	0.00485730545443
10	cxUniform	0.1	8	1	1.83085254242	0.00335877430175
10	cxUniform	0.1	8	3	1.86390182546	0.00286466919438
10	cxUniform	0.1	8	5	1.87502871381	0.00850138073465
10	cxUniform	0.1	8	7	1.87866494353	0.00599749653603
10	cxUniform	0.125	2	1	1.84725961602	0.0050644527262
10	cxUniform	0.125	2	3	1.87159147527	0.00338699262346
10	cxUniform	0.125	2	5	1.87994101482	0.00288630279872
10	cxUniform	0.125	2	7	1.88521340295	0.00623862799402
10	cxUniform	0.125	4	1	1.84120715023	0.00512870658057
10	cxUniform	0.125	4	3	1.86867027817	0.00515673432992
10	cxUniform	0.125	4	5	1.87904820902	0.00396950699876
10	cxUniform	0.125	4	7	1.88251121634	0.00490425895829
10	cxUniform	0.125	6	1	1.83049062071	0.00388490617953
10	cxUniform	0.125	6	3	1.87100576081	0.00371426397747
10	cxUniform	0.125	6	5	1.8776155265	0.0047457444311
10	cxUniform	0.125	6	7	1.87566345305	0.00696549054734
10	cxUniform	0.125	8	1	1.83574015036	0.00519791694448
10	cxUniform	0.125	8	3	1.86759993426	0.00529358133398
10	cxUniform	0.125	8	5	1.87300413852	0.00143957985046
10	cxUniform	0.125	8	7	1.87994604134	0.00459858574609
10	cxUniform	0.15	2	1	1.845196351	0.00881581216994
10	cxUniform	0.15	2	3	1.87119313635	0.00288461893165
10	cxUniform	0.15	2	5	1.88151565036	0.0043234191525
10	cxUniform	0.15	2	7	1.8847938684	0.00636660551082
10	cxUniform	0.15	4	1	1.84079262343	0.00640870296788
10	cxUniform	0.15	4	3	1.87345024664	0.00377983294515
10	cxUniform	0.15	4	5	1.8804149197	0.00750672907238
10	cxUniform	0.15	4	7	1.88637931681	0.00617115131521
10	cxUniform	0.15	6	1	1.82554736642	0.0127632644489
10	cxUniform	0.15	6	3	1.86910069163	0.00919816210818
10	cxUniform	0.15	6	5	1.87516022274	0.0039900318682
10	cxUniform	0.15	6	7	1.88273153823	0.00635417770496
10	cxUniform	0.15	8	1	1.83308971527	0.00730602073067
10	cxUniform	0.15	8	3	1.86813192133	0.00318625042875
10	cxUniform	0.15	8	5	1.87782645414	0.00717220849529
10	cxUniform	0.15	8	7	1.87946843807	0.0079084452078
10	cxUniform	0.175	2	1	1.84148603956	0.00479745556498
10	cxUniform	0.175	2	3	1.87346913043	0.00429881197187
10	cxUniform	0.175	2	5	1.8821208268	0.00661731386367
10	cxUniform	0.175	2	7	1.88854661295	0.00311919340438
10	cxUniform	0.175	4	1	1.84231394157	0.010717191276
10	cxUniform	0.175	4	3	1.87112589884	0.000493571138349
10	cxUniform	0.175	4	5	1.87579884497	0.00407756399732
10	cxUniform	0.175	4	7	1.88141318387	0.00284963124387
10	cxUniform	0.175	6	1	1.83715903112	0.00819177788556
10	cxUniform	0.175	6	3	1.86685444016	0.00475148533018
10	cxUniform	0.175	6	5	1.87600432821	0.00788152991542
10	cxUniform	0.175	6	7	1.87856205694	0.00766044142295
10	cxUniform	0.175	8	1	1.82838494084	0.00969592291497
10	cxUniform	0.175	8	3	1.86568358712	0.0071215280435
10	cxUniform	0.175	8	5	1.87954377298	0.00941963912336
10	cxUniform	0.175	8	7	1.88148960745	0.00599688861917
10	cxUniform	0.2	2	1	1.85023003309	0.00702361945917
10	cxUniform	0.2	2	3	1.87651892529	0.00576486104401
10	cxUniform	0.2	2	5	1.88704086658	0.00606402476061
10	cxUniform	0.2	2	7	1.88909801266	0.00306875151623
10	cxUniform	0.2	4	1	1.84034589264	0.00786543324098
10	cxUniform	0.2	4	3	1.87345859614	0.00705306356331
10	cxUniform	0.2	4	5	1.88089613903	0.00322686788354
10	cxUniform	0.2	4	7	1.88446404489	0.00326351840326
10	cxUniform	0.2	6	1	1.8393827428	0.00396966825829
10	cxUniform	0.2	6	3	1.86637877041	0.005763628739
10	cxUniform	0.2	6	5	1.87740266495	0.00506805715494
10	cxUniform	0.2	6	7	1.88698121832	0.00679562451545
10	cxUniform	0.2	8	1	1.83317962326	0.00950883882207
10	cxUniform	0.2	8	3	1.86882855517	0.0061367406332
10	cxUniform	0.2	8	5	1.87659221384	0.00317114663409
10	cxUniform	0.2	8	7	1.87938103593	0.00606264191104
20	cxOnePoint	0.05	2	1	1.82392239075	0.00876484211796
20	cxOnePoint	0.05	2	3	1.86166838195	0.00831725811733
20	cxOnePoint	0.05	2	5	1.86685353449	0.00430871656465
20	cxOnePoint	0.05	2	7	1.87433564086	0.00415312971007
20	cxOnePoint	0.05	4	1	1.82397862682	0.0140926707434
20	cxOnePoint	0.05	4	3	1.85930807499	0.0113852117475
20	cxOnePoint	0.05	4	5	1.86732346903	0.00633841486925
20	cxOnePoint	0.05	4	7	1.86693407297	0.00571386045591
20	cxOnePoint	0.05	6	1	1.82233526132	0.0100884706894
20	cxOnePoint	0.05	6	3	1.85324491516	0.00982026928643
20	cxOnePoint	0.05	6	5	1.86775418267	0.00799759770887
20	cxOnePoint	0.05	6	7	1.87061360039	0.00327166006437
20	cxOnePoint	0.05	8	1	1.81889409734	0.00756306994698
20	cxOnePoint	0.05	8	3	1.85008571298	0.00702340962529
20	cxOnePoint	0.05	8	5	1.86449888239	0.00874477365771
20	cxOnePoint	0.05	8	7	1.86542792114	0.00841156588181
20	cxOnePoint	0.075	2	1	1.83256215497	0.00972057366654
20	cxOnePoint	0.075	2	3	1.86346346309	0.00664495105208
20	cxOnePoint	0.075	2	5	1.87463539563	0.00691284759723
20	cxOnePoint	0.075	2	7	1.8774655857	0.0047987022734
20	cxOnePoint	0.075	4	1	1.81691566959	0.00903684054979
20	cxOnePoint	0.075	4	3	1.86614368534	0.00298255773807
20	cxOnePoint	0.075	4	5	1.87272338066	0.00632306332058
20	cxOnePoint	0.075	4	7	1.87182216781	0.00866201765454
20	cxOnePoint	0.075	6	1	1.81898990143	0.00939970542672
20	cxOnePoint	0.075	6	3	1.8568466931	0.00573101071645
20	cxOnePoint	0.075	6	5	1.86405734295	0.00411912373957
20	cxOnePoint	0.075	6	7	1.87714574987	0.00661011338726
20	cxOnePoint	0.075	8	1	1.81172012191	0.00763253683612
20	cxOnePoint	0.075	8	3	1.86061905819	0.00687077878212
20	cxOnePoint	0.075	8	5	1.86339880634	0.0111257777831
20	cxOnePoint	0.075	8	7	1.87121103916	0.00711629424941
20	cxOnePoint	0.1	2	1	1.83168032458	0.00538783872603
20	cxOnePoint	0.1	2	3	1.86272362517	0.00413989504912
20	cxOnePoint	0.1	2	5	1.87337358843	0.0063507163745
20	cxOnePoint	0.1	2	7	1.87151635198	0.00326501582775
20	cxOnePoint	0.1	4	1	1.81424694475	0.00876763591341
20	cxOnePoint	0.1	4	3	1.86023517705	0.00572765197042
