mean_1	cx	mut_pb	t_size	k	max_val
10	cxTwoPoint	0.2	4	7	1.89695868338
10	cxTwoPoint	0.2	6	1	1.8453213828
10	cxTwoPoint	0.2	6	3	1.87100576813
10	cxTwoPoint	0.2	6	5	1.88120761461
10	cxTwoPoint	0.2	6	7	1.89241761231
10	cxTwoPoint	0.2	8	1	1.83275086244
10	cxTwoPoint	0.2	8	3	1.86713160571
10	cxTwoPoint	0.2	8	5	1.88760190019
10	cxTwoPoint	0.2	8	7	1.87741837519
10	cxUniform	0.05	2	1	1.85316775894
10	cxUniform	0.05	2	3	1.87579636495
10	cxUniform	0.05	2	5	1.89042359051
10	cxUniform	0.05	2	7	1.88827691096
10	cxUniform	0.05	4	1	1.83980389906
10	cxUniform	0.05	4	3	1.87207464572
10	cxUniform	0.05	4	5	1.88120442852
10	cxUniform	0.05	4	7	1.8891197179
10	cxUniform	0.05	6	1	1.83355002144
10	cxUniform	0.05	6	3	1.87937529486
10	cxUniform	0.05	6	5	1.88946965308
10	cxUniform	0.05	6	7	1.89272298301
10	cxUniform	0.05	8	1	1.8397021561
10	cxUniform	0.05	8	3	1.87294195796
10	cxUniform	0.05	8	5	1.88820700651
10	cxUniform	0.05	8	7	1.88486576277
10	cxUniform	0.075	2	1	1.84952727758
10	cxUniform	0.075	2	3	1.88229495502
10	cxUniform	0.075	2	5	1.88419014978
10	cxUniform	0.075	2	7	1.88793680809
10	cxUniform	0.075	4	1	1.83891120939
10	cxUniform	0.075	4	3	1.87833786943
10	cxUniform	0.075	4	5	1.88496676411
10	cxUniform	0.075	4	7	1.89112386066
10	cxUniform	0.075	6	1	1.83637879456
10	cxUniform	0.075	6	3	1.87472011505
10	cxUniform	0.075	6	5	1.8837839206
10	cxUniform	0.075	6	7	1.88871602638
10	cxUniform	0.075	8	1	1.8473437436
10	cxUniform	0.075	8	3	1.86720352926
10	cxUniform	0.075	8	5	1.88245730848
10	cxUniform	0.075	8	7	1.88064215747
10	cxUniform	0.1	2	1	1.84535600575
10	cxUniform	0.1	2	3	1.88266485539
10	cxUniform	0.1	2	5	1.89067516082
10	cxUniform	0.1	2	7	1.88928246013
10	cxUniform	0.1	4	1	1.84832251797
10	cxUniform	0.1	4	3	1.87441248528
10	cxUniform	0.1	4	5	1.89335148876
10	cxUniform	0.1	4	7	1.89040184468
10	cxUniform	0.1	6	1	1.84821167515
10	cxUniform	0.1	6	3	1.87558535686
10	cxUniform	0.1	6	5	1.87925547373
10	cxUniform	0.1	6	7	1.88427546386
10	cxUniform	0.1	8	1	1.83406417503
10	cxUniform	0.1	8	3	1.86659133333
10	cxUniform	0.1	8	5	1.88910778097
10	cxUniform	0.1	8	7	1.88692511016
10	cxUniform	0.125	2	1	1.85197713805
10	cxUniform	0.125	2	3	1.87561238174
10	cxUniform	0.125	2	5	1.88424378794
10	cxUniform	0.125	2	7	1.89386351915
10	cxUniform	0.125	4	1	1.84760429773
10	cxUniform	0.125	4	3	1.8760098239
10	cxUniform	0.125	4	5	1.88373876987
10	cxUniform	0.125	4	7	1.88850284704
10	cxUniform	0.125	6	1	1.83744149772
10	cxUniform	0.125	6	3	1.87515148665
10	cxUniform	0.125	6	5	1.88577536575
10	cxUniform	0.125	6	7	1.88506724356
10	cxUniform	0.125	8	1	1.8426193685
10	cxUniform	0.125	8	3	1.87365435713
10	cxUniform	0.125	8	5	1.87544492719
10	cxUniform	0.125	8	7	1.88543709833
10	cxUniform	0.15	2	1	1.85813872601
10	cxUniform	0.15	2	3	1.87646624259
