mean_1	cx	mut_pb	t_size	max_val
20	cxTwoPoint	0.1	4	1.93571422108
20	cxTwoPoint	0.1	6	1.94551735524
20	cxTwoPoint	0.1	8	1.93416493236
20	cxTwoPoint	0.125	2	1.9437387675
20	cxTwoPoint	0.125	4	1.9377664966
20	cxTwoPoint	0.125	6	1.93913254282
20	cxTwoPoint	0.125	8	1.94734608647
20	cxTwoPoint	0.15	2	1.93833168423
20	cxTwoPoint	0.15	4	1.94684702043
20	cxTwoPoint	0.15	6	1.9403326291
20	cxTwoPoint	0.15	8	1.93583330576
20	cxTwoPoint	0.175	2	1.94849935876
20	cxTwoPoint	0.175	4	1.94057987146
20	cxTwoPoint	0.175	6	1.93973333394
20	cxTwoPoint	0.175	8	1.94014875142
20	cxTwoPoint	0.2	2	1.94105538365
20	cxTwoPoint	0.2	4	1.94903423742
20	cxTwoPoint	0.2	6	1.94610280316
20	cxTwoPoint	0.2	8	1.93829595306
20	cxUniform	0.05	2	1.95090821564
20	cxUniform	0.05	4	1.94884128186
20	cxUniform	0.05	6	1.93894180564
20	cxUniform	0.05	8	1.94414255239
20	cxUniform	0.075	2	1.94870880534
20	cxUniform	0.075	4	1.9486658607
20	cxUniform	0.075	6	1.93864377561
20	cxUniform	0.075	8	1.94442272463
20	cxUniform	0.1	2	1.94960669614
20	cxUniform	0.1	4	1.94733324309
20	cxUniform	0.1	6	1.95018666299
20	cxUniform	0.1	8	1.94739270672
20	cxUniform	0.125	2	1.95206427577
20	cxUniform	0.125	4	1.95238580481
20	cxUniform	0.125	6	1.9486964444
20	cxUniform	0.125	8	1.95051237509
20	cxUniform	0.15	2	1.95212266898
20	cxUniform	0.15	4	1.95022120225
20	cxUniform	0.15	6	1.94378803867
20	cxUniform	0.15	8	1.94110366931
20	cxUniform	0.175	2	1.94912234821
20	cxUniform	0.175	4	1.94964476679
20	cxUniform	0.175	6	1.94992427575
20	cxUniform	0.175	8	1.94874974579
20	cxUniform	0.2	2	1.95053776807
20	cxUniform	0.2	4	1.95019932079
20	cxUniform	0.2	6	1.94734767441
20	cxUniform	0.2	8	1.953261219
30	cxOnePoint	0.05	2	1.94597758532
30	cxOnePoint	0.05	4	1.94657950467
30	cxOnePoint	0.05	6	1.94276477079
30	cxOnePoint	0.05	8	1.94432250858
30	cxOnePoint	0.075	2	1.94579678807
30	cxOnePoint	0.075	4	1.94517365514
30	cxOnePoint	0.075	6	1.93930847437
30	cxOnePoint	0.075	8	1.94089042608
30	cxOnePoint	0.1	2	1.9515682006
30	cxOnePoint	0.1	4	1.94838468111
30	cxOnePoint	0.1	6	1.94339362486
30	cxOnePoint	0.1	8	1.9414290389
30	cxOnePoint	0.125	2	1.94771073287
30	cxOnePoint	0.125	4	1.94589266736
30	cxOnePoint	0.125	6	1.94697948434
30	cxOnePoint	0.125	8	1.93905233724
30	cxOnePoint	0.15	2	1.94823816887
30	cxOnePoint	0.15	4	1.94660504285
30	cxOnePoint	0.15	6	1.95187275984
